264183816548130816	15140428	positive	Ga by my hous hit $ 3.39 I 'm go to Chapel Hill on Sat e1 h0
264249301910310912	18516728	negative	Iranian gener say Israel 's Iron Dome ca n't deal with their missil keep talk like that and we may end up find out h0
264105751826538497	147088367	positive	with J Davlar 11th Main rival are team Poland Hope we an make it a success end to a tough week of train tomorrow h0
264094586689953794	332474633	negative	Talk about ACT 's amp amp SAT 's decid where I want to go to colleg appli to colleg and everyth about colleg stress me out h0
254941790757601280	557103111	negative	They may have a SuperBowl in Dalla but Dalla am not win a SuperBowl Not with that quarterback and owner ||T|| ||T|| h0
264169034155696130	382403760	neutral	Im bring the monster load of candi tomorrow I just hope it doe n't get all squich h0
263192091700654080	344222239	objective-OR-neutral	Appl softwar retail chief out in overhaul SAN FRANCISCO Appl Inc CEO Tim Cook on Monday replac the head ||U|| h0
263398998675693568	812957996	positive	||T|| ||T|| ||T|| I just watch it Sridevi 's comeback U rememb her from the 90 Sun morn on NTA e0 h0
260200142420992000	332530284	objective	Nadal confirm for Mexican Open in Februari Rafael Nadal is set to play at the Me ||U|| h2
264087629237202944	61903760	positive	||T|| I didnt want to just pop up but yep we have chapel hill next wednesday you should come. and she great ill tell her you ask h0
250692636330049538	29023839	neutral	||T|| ||T|| hmmmm Novemb is an odd releas date if true but if it becom big enough mayb she could sing it at Grammi h0
263304719471087617	564843841	objective	US delist MKO from global terrorist list in line with Iran campaign Tehran Oct 30 IRNA - Secretari ||U|| h1
263956867787673600	183985016	positive	Good Morn Becki Thursday is go to be Fantast ||T|| ||T|| ||T|| ||T|| ||T|| ||T|| ||T|| ||T|| h0
263975113404342273	616166780	objective	Expect light-moder rain over E Visaya Cebu Bohol Samar amp Leyt have 30-70 % chanc of rain tonight Expect fair weather tomorrow h0
257343699460173824	10115042	positive	One ticket left for the ||T|| game tomorrow Don't miss the rematch of the NFC Championship game against the NY Giant Hit me up h0
264125591337463808	348691527	negative	AFC away fan on Saturday All thi stuff about the 'she said no chant It 's bollock When he ha the ball just turn your back on him h0
264259830590603264	183011479	negative	Whi is it so hard to find the ||T|| these day Went to 3 store for the Castl cover issu NONE Will search again tomorrow h0
257239661976625152	64642600	objective-OR-neutral	Game 1 of the NLC and a rematch of the NFC Championship game tomorrow SF 's go to be cuuuuhraaaaaaaazeeee h0
264223934403211264	117204603	neutral	||T|| the heat game may cost a lot more and plu I would rather see Austin River play h0
264041764460036096	198706982	positive	Never start work on your dream and goal tomorrow tomorrow never come .if it mean anyth to U ACT NOW h1
264102295392882689	43577828	positive	||T|| I had Vick and Flacco need an upgrad Vick may get bench Jen a back up again soon I thought it wa a win for me h0
264071572925603841	43167117	positive	Look like Andi the Android may have had a littl too much fun yesterday ||U|| h0
262115068320284672	306647135	positive	||T|| oooh nice Ti tempt to go up the lake with my Nikon Hmmmm I may do that h0
264239636799430656	864992245	objective-OR-neutral	BLACK FRIDAY Huge Save Aerial View of a Citi Pari La Vega the La Vega Strip La Vega ||U|| h0
257951107530252289	100101797	negative	||T|| ||T|| ||T|| Jenel lies,1st she said she wa alon amp the hosp.now she 's say how weird it wa for Keiffer 's h0
263502599699955712	138301329	negative	||T|| LMFAO hi big ass get on my nerv you go to class tomorrow h0
236665189502681089	551910244	objective	Moham Morsi Egypt 's Muslim Brotherhood presid instruct the Suprem Council of the Arm Forc Thursday ||U|| h0
262384414623936512	17091853	neutral	C'mon Avila You just got tag out by a guy who look like the kid Bill Murray wa research in The Royal Tenenbaum h1
263936581734383617	108594490	negative	||T|| you think the Boro will beat Swansea I 'm not so sure December/Januari is when we implod h0
249228128302551040	160639448	objective-OR-neutral	At the first Grammi Award held on 4 May 1959 Domenico Modugno beat out Frank Sinatra and Peggi Lee for the Record of the Year with Volar h0
263346444772184065	566521127	positive	||T|| I have studi all day but tomorrow I 'm go out with friend e1 Omg Jennett did I 'm go to look long time 3 h0
263970913270251520	15794878	positive	Good morn Thursday Life is fragil We 're not guarante a tomorrow so give it everyth you 've got Tim Cook Do it for Job h0
